Entity,Code,Year,Urban population living in slums
Afghanistan,AFG,2006,3251804
Afghanistan,AFG,2008,3557929
Afghanistan,AFG,2010,4080583
Afghanistan,AFG,2012,4797309
Afghanistan,AFG,2014,5528265
Afghanistan,AFG,2016,6171879
Afghanistan,AFG,2018,6732937
Afghanistan,AFG,2020,7234482
Afghanistan,AFG,2022,7376936
Albania,ALB,2000,361213
Albania,ALB,2002,335726
Albania,ALB,2004,313139
Albania,ALB,2006,288762
Albania,ALB,2008,260540
Albania,ALB,2010,232743
Albania,ALB,2012,198774
Albania,ALB,2014,156370
Albania,ALB,2016,116582
Albania,ALB,2018,77919
Albania,ALB,2020,40454
Albania,ALB,2022,38303
Algeria,DZA,2006,6670888
Algeria,DZA,2008,7067028
Algeria,DZA,2010,7481570
Algeria,DZA,2012,7432002
Algeria,DZA,2014,6811346
Algeria,DZA,2016,6090047
Algeria,DZA,2018,5247856
Algeria,DZA,2020,4267962
Algeria,DZA,2022,4468530
Andorra,AND,2000,0
Andorra,AND,2002,0
Andorra,AND,2004,0
Andorra,AND,2006,0
Andorra,AND,2008,0
Andorra,AND,2010,0
Andorra,AND,2012,0
Andorra,AND,2014,0
Andorra,AND,2016,0
Andorra,AND,2018,0
Andorra,AND,2020,0
Andorra,AND,2022,0
Angola,AGO,2000,1611372
Angola,AGO,2002,1805520
Angola,AGO,2004,2012932
Angola,AGO,2006,2937047
Angola,AGO,2008,4035727
Angola,AGO,2010,5330517
Angola,AGO,2012,6843149
Angola,AGO,2014,8572217
Angola,AGO,2016,10592466
Angola,AGO,2018,12901986
Angola,AGO,2020,14125735
Angola,AGO,2022,15428093
Antigua and Barbuda,ATG,2010,587
Antigua and Barbuda,ATG,2012,588
Antigua and Barbuda,ATG,2014,589
Antigua and Barbuda,ATG,2016,593
Antigua and Barbuda,ATG,2018,596
Antigua and Barbuda,ATG,2020,599
Antigua and Barbuda,ATG,2022,602
Argentina,ARG,2000,6734053
Argentina,ARG,2002,6664207
Argentina,ARG,2004,6577425
Argentina,ARG,2006,6481545
Argentina,ARG,2008,6372374
